,index,Interaction,Type,Importance
51,27,B X S,catcat,0.045037055517078387
52,182,P X TSpicy,catcont,0.043696823047501276
53,157,F X TSweet,catcont,0.0434084783304115
54,115,O X P,catcat,0.042440741154556635
55,136,A X Total,catcont,0.042414534884453535
56,204,Total X TSweet,contcont,0.042130380024169564
57,76,F X R,catcat,0.041800154047487215
58,139,A X TMeaty,catcont,0.04019510256811356
59,169,K X TSweet,catcont,0.03996375675261159
60,38,C X O,catcat,0.03945456751288838
61,121,P X R,catcat,0.03935199020865125
62,185,R X TSweet,catcont,0.03905513368046615
63,161,G X TSweet,catcont,0.03721890705187546
64,55,D X T,catcat,0.03622232129559818
65,207,TSweet X TSpicy,contcont,0.0354925466491906
66,183,P X TMeaty,catcont,0.03421425204956823
67,189,S X TSweet,catcont,0.03420656586537375
68,140,B X Total,catcont,0.03377162675146897
69,146,C X TSpicy,catcont,0.03372599116325755
70,111,M X S,catcat,0.03320110137029481
71,7,A X K,catcat,0.03302707144982367
72,50,D X M,catcat,0.0316549745479305
73,31,C X D,catcat,0.030402320213950833
74,93,H X O,catcat,0.030333194885569056
75,188,S X Total,catcont,0.030318172961250466
76,9,A X O,catcat,0.030290555548243597
77,3,A X E,catcat,0.02957759515112156
78,79,F X V,catcat,0.02953719021056868
79,154,E X TSpicy,catcont,0.029317090196280357
80,75,F X P,catcat,0.0289749958196878
81,43,C X V,catcat,0.028778453103836418
82,202,W X TSpicy,catcont,0.028606588652936388
83,42,C X T,catcat,0.028530440212132906
84,88,G X T,catcat,0.028172332258863914
85,205,Total X TSpicy,contcont,0.02712465123888943
86,34,C X G,catcat,0.027115020976844907
87,155,E X TMeaty,catcont,0.026836736774411108
88,0,A X B,catcat,0.0267331614760368
89,171,K X TMeaty,catcont,0.026669038457181465
90,110,M X R,catcat,0.026621552685294224
91,150,D X TSpicy,catcont,0.02638607350459325
92,208,TSweet X TMeaty,contcont,0.026262091089369884
93,12,A X S,catcat,0.02598409565278168
94,135,V X W,catcat,0.025676574691127333
95,134,T X W,catcat,0.025586452891747942
96,107,K X W,catcat,0.024837280169827572
97,56,D X V,catcat,0.024692707415066732
98,32,C X E,catcat,0.02433514877577932
99,192,T X Total,catcont,0.024114883604931428
100,96,H X S,catcat,0.023842347490509373
101,195,T X TMeaty,catcont,0.023516710726225947
102,162,G X TSpicy,catcont,0.02345974145803852
103,52,D X P,catcat,0.023426494219070653
104,149,D X TSweet,catcont,0.0229966830228447
105,167,H X TMeaty,catcont,0.022673516864823377
106,45,D X E,catcat,0.02249435672532202
107,40,C X R,catcat,0.02214074303753445
108,112,M X T,catcat,0.02214032768499248
109,65,E X R,catcat,0.021923861096664426
110,14,A X V,catcat,0.02163184020077573
111,118,O X T,catcat,0.02143206059647207
112,175,M X TMeaty,catcont,0.02124960429851092
113,103,K X R,catcat,0.021202118526623688
114,24,B X O,catcat,0.021127457383571
115,174,M X TSpicy,catcont,0.02075779007645955
116,164,H X Total,catcont,0.020690859096933665
117,173,M X TSweet,catcont,0.02058761879299788
118,90,G X W,catcat,0.0205138181458227
119,152,E X Total,catcont,0.02030459797006078
120,73,F X M,catcat,0.02019407899081792
121,109,M X P,catcat,0.019945300707206796
122,119,O X V,catcat,0.019939788974445285
123,20,B X G,catcat,0.019897552279279238
124,51,D X O,catcat,0.019613174178650817
125,156,F X Total,catcont,0.019482608316555374
126,197,V X TSweet,catcont,0.01934340852733466
127,44,C X W,catcat,0.01913258395834757
128,19,B X F,catcat,0.019012868750704525
129,176,O X Total,catcont,0.018307282005631552
130,138,A X TSpicy,catcont,0.018116309292074664
131,71,F X H,catcat,0.01803902408406406
132,125,P X W,catcat,0.017398147514631285
133,130,S X T,catcat,0.01735000808393868
134,158,F X TSpicy,catcont,0.016895200356951294
135,160,G X Total,catcont,0.016824016872763668
136,82,G X K,catcat,0.01667437568391493
137,39,C X P,catcat,0.016574783460310702
138,53,D X R,catcat,0.016553524684314418
139,74,F X O,catcat,0.016026187924019823
140,201,W X TSweet,catcont,0.015185667586690082
141,193,T X TSweet,catcont,0.015101405387491102
142,4,A X F,catcat,0.014834184225889792
143,178,O X TSpicy,catcont,0.014453553402433402
144,15,A X W,catcat,0.014307313112817424
145,128,R X V,catcat,0.013713831032248125
146,81,G X H,catcat,0.013398726623543016
147,17,B X D,catcat,0.013361383945525239
148,166,H X TSpicy,catcont,0.01332190458251476
149,23,B X M,catcat,0.01307822087548752
150,26,B X R,catcat,0.013077480015946557
151,77,F X S,catcat,0.013040821528678683
152,80,F X W,catcat,0.012903452496959244
153,1,A X C,catcat,0.012690865334275108
154,22,B X K,catcat,0.012690657558510314
155,144,C X Total,catcont,0.012516978718071703
156,54,D X S,catcat,0.012001901857120427
157,165,H X TSweet,catcont,0.011945806342442506
158,16,B X C,catcat,0.011926405988572988
159,126,R X S,catcat,0.011758744125814078
160,163,G X TMeaty,catcont,0.011471429740639274
161,172,M X Total,catcont,0.011248454820710551
162,63,E X O,catcat,0.011208446567830288
163,46,D X F,catcat,0.010669692550028455
164,102,K X P,catcat,0.010467992711118833
165,143,B X TMeaty,catcont,0.010416619683339762
166,97,H X T,catcat,0.010248675755014916
167,194,T X TSpicy,catcont,0.010195985523294532
168,2,A X D,catcat,0.009986224117168778
169,122,P X S,catcat,0.009610283401859272
170,200,W X Total,catcont,0.009576360866626762
171,67,E X T,catcat,0.009221360494141299
172,35,C X H,catcat,0.009152696759566092
173,114,M X W,catcat,0.008779839979707868
174,99,H X W,catcat,0.008729232320783872
175,11,A X R,catcat,0.008640181358624793
176,86,G X R,catcat,0.008383810633564307
177,13,A X T,catcat,0.0083431685129086
178,37,C X M,catcat,0.008283830506212519
179,137,A X TSweet,catcont,0.007712574758920526
180,6,A X H,catcat,0.007684370378554379
181,105,K X T,catcat,0.007436148812731057
182,98,H X V,catcat,0.0074147991310940554
183,123,P X T,catcat,0.006997774029918109
184,70,F X G,catcat,0.006606964118671351
185,101,K X O,catcat,0.0061629908122587335
186,120,O X W,catcat,0.006162881097161771
187,68,E X V,catcat,0.00603744944841586
188,124,P X V,catcat,0.0059487319759194204
189,78,F X T,catcat,0.005495776004882264
190,62,E X M,catcat,0.005451677072426575
191,66,E X S,catcat,0.005358631921285564
192,69,E X W,catcat,0.0051043080793576725
193,117,O X S,catcat,0.004993613542636136
194,132,S X W,catcat,0.0045128795924036375
195,57,D X W,catcat,0.004370763484405089
196,190,S X TSpicy,catcont,0.0043123752614712295
197,28,B X T,catcat,0.003950372958608323
198,127,R X T,catcat,0.0036045461843070754
199,49,D X K,catcat,0.0035680004308771495
200,92,H X M,catcat,0.0032251868319186088
201,5,A X G,catcat,0.0027681243085880005
202,145,C X TSweet,catcont,0.002705801012269899
203,8,A X M,catcat,0.0025734512477307136
204,47,D X G,catcat,0.0024997596688731524
205,25,B X P,catcat,0.0024360882209506756
206,129,R X W,catcat,0.0023248284482124664
207,83,G X M,catcat,0.0016561325453354756
208,48,D X H,catcat,0.0015103287141049306
209,113,M X V,catcat,0.001110315896227674
